id,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5300
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17000
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130000
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91000
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320000
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39000
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350000
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2400
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61000
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12000
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4000
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13000
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130000
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11000
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27000
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110000
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13000
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6600
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540000
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22000
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2900
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80000
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9900
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110000
838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23000
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9200
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78000
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320000
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190000
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35000
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29000
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14000
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21000
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94000
482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69000
212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40000
846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12000
561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220000
78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150000
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14000
322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18000
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23000
265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69000
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270000
752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7900
119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30000
302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36000
508,Anatomy: Musculoskeletal and Integumentary Systems,University of Michigan,COURSE,4.8,Beginner,20000
797,Ancient Philosophy: Aristotle and His Successors,University of Pennsylvania,COURSE,4.8,Mixed,8100
390,Android App Development,Vanderbilt University,SPECIALIZATION,4.5,Beginner,120000
201,Animal Behaviour and Welfare,The University of Edinburgh,COURSE,4.8,Mixed,71000
663,Antibiotic Stewardship,Stanford University,COURSE,4.5,Advanced,11000
514,Anticorrupción: Introducción a conceptos y perspectiva práctica,Universidad Nacional Autónoma de México,COURSE,4.8,Beginner,11000
799,Antimicrobial resistance - theory and methods,Technical University of Denmark (DTU),COURSE,4.6,Intermediate,63000
8,Applied Data Science,IBM,SPECIALIZATION,4.6,Beginner,220000
637,Applied Data Science Capstone,IBM,COURSE,4.7,Intermediate,42000
26,Applied Data Science with Python,University of Michigan,SPECIALIZATION,4.5,Intermediate,480000
630,Applied Machine Learning in Python,University of Michigan,COURSE,4.6,Intermediate,150000
491,"Applied Plotting, Charting & Data Representation in Python",University of Michigan,COURSE,4.6,Intermediate,97000
888,Aprende a programar con Python,Universidad Austral,SPECIALIZATION,4.2,Beginner,6600
512,Aprender,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,200000
551,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,COURSE,4.9,Beginner,180000
437,Architecting with Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.5,Intermediate,4200
10,Architecting with Google Compute Engine,Google Cloud,SPECIALIZATION,4.7,Intermediate,310000
573,Architecting with Google Kubernetes Engine 日本語版,Google Cloud,SPECIALIZATION,4.5,Beginner,3900
56,Arizona State University TESOL,Arizona State University,PROFESSIONAL CERTIFICATE,4.9,Beginner,150000
479,Art & Activity: Interactive Strategies for Engaging with Art,The Museum of Modern Art,COURSE,4.8,Mixed,79000
452,Art & Ideas: Teaching with Themes,The Museum of Modern Art,COURSE,4.8,Mixed,31000
651,Arts and Culture Strategy,National Arts Strategies,COURSE,4.6,Mixed,15000
326,Arts and Heritage Management,Università Bocconi,COURSE,4.8,Mixed,15000
877,Aspectos básicos de la planificación y la gestión de proyectos,University of Virginia,COURSE,4.9,Beginner,10000
753,Astrobiology and the Search for Extraterrestrial Life,The University of Edinburgh,COURSE,4.7,Mixed,66000
782,Atención Primaria en Salud: El desafío de las Enfermedades no Transmisibles,Pontificia Universidad Católica de Chile,COURSE,4.8,Intermediate,33000
210,Autism Spectrum Disorder,"University of California, Davis",COURSE,4.6,Mixed,56000
885,Autodesk CAD/CAM for Manufacturing,Autodesk,SPECIALIZATION,4.8,Intermediate,7300
468,Autodesk CAD/CAM/CAE for Mechanical Engineering,Autodesk,SPECIALIZATION,4.8,Intermediate,9200
702,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,Autodesk,COURSE,4.7,Advanced,22000
590,Autodesk Certified Professional: Revit for Architectural Design Exam Prep,Autodesk,COURSE,4.7,Advanced,9700
816,BIM Fundamentals for Engineers,National Taiwan University,COURSE,4.6,Beginner,13000
642,Basic Statistics,University of Amsterdam,COURSE,4.6,Beginner,180000
493,Bayesian Statistics: From Concept to Data Analysis,"University of California, Santa Cruz",COURSE,4.8,Intermediate,91000
602,Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",COURSE,4.8,Intermediate,29000
106,Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,COURSE,4.9,Mixed,210000
294,Become a Journalist: Report the News!,Michigan State University,SPECIALIZATION,4.7,Beginner,28000
809,Become a Sustainable Business Change Agent,University of Colorado System,SPECIALIZATION,4.7,Intermediate,4200
776,Becoming a Sports Agent,Case Western Reserve University,COURSE,4.7,Beginner,6500
672,Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,COURSE,4.8,Beginner,61000
269,Behavioral Finance,Duke University,COURSE,4.4,Mixed,55000
456,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,COURSE,4.6,Mixed,2300
498,Big Data – Introducción al uso práctico de datos masivos,Universitat Autònoma de Barcelona,SPECIALIZATION,4.5,Beginner,8800
687,Biohacking Your Brain's Health,Emory University,COURSE,4.6,Beginner,35000
565,Biology Meets Programming: Bioinformatics for Beginners,University of California San Diego,COURSE,4.4,Beginner,88000
131,Biostatistics in Public Health,Johns Hopkins University,SPECIALIZATION,4.8,Beginner,14000
751,Blended Language Learning: Design and Practice for Teachers,University of Colorado Boulder,COURSE,4.8,Intermediate,1900
251,Blockchain,University at Buffalo,SPECIALIZATION,4.6,Intermediate,68000
143,Blockchain Revolution,INSEAD,SPECIALIZATION,4.7,Beginner,21000
462,Blockchain Revolution in Financial Services,INSEAD,SPECIALIZATION,4.6,Beginner,1600
719,Blockchain: Foundations and Use Cases,ConsenSys Academy,COURSE,4.7,Beginner,31000
645,Boosting Creativity for Innovation,HEC Paris,COURSE,4.9,Beginner,9500
72,"Brand Management: Aligning Business, Brand and Behaviour",London Business School,COURSE,4.9,Beginner,57000
238,Branding: The Creative Journey,IE Business School,SPECIALIZATION,4.6,Beginner,26000
486,Budgeting and Scheduling Projects,"University of California, Irvine",COURSE,4.7,Mixed,84000
688,Bugs 101: Insect-Human Interactions,University of Alberta,COURSE,4.9,Beginner,15000
395,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,COURSE,4.9,Mixed,95000
653,Building Batch Data Pipelines on GCP,Google Cloud,COURSE,4.5,Intermediate,7300
670,Building Conversational Experiences with Dialogflow,Google Cloud,COURSE,4.5,Beginner,22000
884,Building Resilient Streaming Analytics Systems on GCP,Google Cloud,COURSE,4.6,Intermediate,5800
610,Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,COURSE,4.3,Intermediate,24000
824,Building Your Leadership Skills,HEC Paris,COURSE,4.5,Mixed,67000
17,Business Analytics,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,280000
611,Business English,Arizona State University,SPECIALIZATION,4.7,Intermediate,38000
168,Business English Communication Skills,University of Washington,SPECIALIZATION,4.7,Intermediate,120000
738,Business English: Networking,University of Washington,COURSE,4.7,Intermediate,77000
7,Business Foundations,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,510000
410,Business Model Innovation,HEC Paris,COURSE,4.7,Mixed,13000
96,Business Statistics and Analysis,Rice University,SPECIALIZATION,4.7,Beginner,110000
126,Business Strategies for A Better World,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,24000
104,Business Strategy,University of Virginia,SPECIALIZATION,4.7,Beginner,89000
233,Business Technology Management,Indian School of Business,SPECIALIZATION,4.5,Beginner,67000
478,Business Transformation with Google Cloud,Google Cloud,COURSE,4.7,Beginner,10000
539,Business Writing,University of Colorado Boulder,COURSE,4.8,Beginner,48000
23,Business and Financial Modeling,University of Pennsylvania,SPECIALIZATION,4.5,Beginner,160000
662,C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",COURSE,4.5,Beginner,31000
222,C# Programming for Unity Game Development,University of Colorado System,SPECIALIZATION,4.7,Beginner,36000
21,COVID-19 Contact Tracing,Johns Hopkins University,COURSE,4.9,Beginner,220000
450,COVID-19: What You Need to Know (CME Eligible),Osmosis,COURSE,4.8,Beginner,32000
525,"Cameras, Exposure, and Photography",Michigan State University,COURSE,4.7,Mixed,130000
107,Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,COURSE,4.7,Beginner,340000
536,"Capstone: Retrieving, Processing, and Visualizing Data with Python",University of Michigan,COURSE,4.6,Mixed,82000
44,Career Success,"University of California, Irvine",SPECIALIZATION,4.4,Beginner,790000
736,Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,COURSE,4.8,Beginner,31000
718,Chemicals and Health,Johns Hopkins University,COURSE,4.7,Beginner,23000
726,Chicken Behaviour and Welfare,The University of Edinburgh,COURSE,4.7,Mixed,19000
161,Child Nutrition and Cooking,Stanford University,COURSE,4.7,Beginner,30000
737,Chinese for HSK 1,Peking University,COURSE,4.8,Beginner,22000
95,Cisco Networking Basics,Cisco,SPECIALIZATION,4.7,Beginner,57000
848,Classical Sociological Theory,University of Amsterdam,COURSE,4.8,Mixed,51000
197,Claves de la Dirección de Empresas,IESE Business School,SPECIALIZATION,4.8,Beginner,51000
457,Climate Change and Health: From Science to Action,Yale University,SPECIALIZATION,4.6,Beginner,4800
275,Clinical Terminology for International and U.S. Students,University of Pittsburgh,COURSE,4.8,Beginner,32000
349,Cloud Computing,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,110000
777,Cloud Computing Basics (Cloud 101),LearnQuest,COURSE,4.5,Beginner,37000
9,Cloud Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.7,Intermediate,310000
276,Coaching Skills for Managers,"University of California, Davis",SPECIALIZATION,4.7,Intermediate,37000
655,Code Yourself! An Introduction to Programming,The University of Edinburgh,COURSE,4.7,Beginner,120000
709,Communication Skills for Engineers,Rice University,SPECIALIZATION,4.7,Beginner,15000
305,Communication Strategies for a Virtual Age,University of Toronto,COURSE,4.8,Beginner,43000
890,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,University of Colorado Boulder,COURSE,4.9,Beginner,6400
406,"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,COURSE,4.7,Beginner,43000
474,Competitive Strategy and Organization Design,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,4.7,Intermediate,350000
391,Computational Social Science,"University of California, Davis",SPECIALIZATION,4.6,Beginner,5800
221,Computational Thinking for Problem Solving,University of Pennsylvania,COURSE,4.8,Beginner,33000
621,Computer Security and Systems Management,University of Colorado System,SPECIALIZATION,4.6,Beginner,27000
439,Conflict Management,"University of California, Irvine",SPECIALIZATION,4.3,Beginner,66000
728,Construction Cost Estimating and Cost Control,Columbia University,COURSE,4.7,Beginner,19000
48,Construction Management,Columbia University,SPECIALIZATION,4.7,Beginner,61000
290,Construction Project Management,Columbia University,COURSE,4.8,Beginner,43000
794,Construction Scheduling,Columbia University,COURSE,4.8,Beginner,15000
300,Contabilidad para no contadores,Universidad Nacional Autónoma de México,COURSE,4.7,Beginner,220000
273,Content Strategy for Professionals,Northwestern University,SPECIALIZATION,4.5,Beginner,27000
448,Continuous Delivery & DevOps,University of Virginia,COURSE,4.6,Beginner,26000
815,Control of Mobile Robots,Georgia Institute of Technology,COURSE,4.8,Mixed,49000
207,Convolutional Neural Networks,deeplearning.ai,COURSE,4.9,Intermediate,240000
358,Convolutional Neural Networks in TensorFlow,deeplearning.ai,COURSE,4.7,Intermediate,46000
725,Corporate & Commercial Law I: Contracts & Employment Law,University of Illinois at Urbana-Champaign,COURSE,4.8,Intermediate,10000
458,Corporate Finance Essentials,IESE Business School,COURSE,4.8,Mixed,56000
714,Corporate Strategy,UCL School of Management,COURSE,4.8,Beginner,7800
301,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,COURSE,4.6,Mixed,10000
691,"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,COURSE,4.6,Beginner,75000
854,Cost and Economics in Pricing Strategy,University of Virginia,COURSE,4.8,Beginner,15000
544,Costos para los Negocios,Universidad de Chile,COURSE,4.8,Intermediate,43000
179,Crash Course on Python,Google,COURSE,4.8,Beginner,81000
463,Creative Problem Solving,University of Minnesota,COURSE,4.3,Mixed,140000
59,Creative Writing,Wesleyan University,SPECIALIZATION,4.6,Beginner,140000
371,Creative Writing: The Craft of Plot,Wesleyan University,COURSE,4.7,Mixed,120000
793,"Creatividad, diseño e innovación: Técnicas y herramientas",Arizona State University,SPECIALIZATION,4.7,Beginner,150000
678,Cuidado de heridas en el ámbito hospitalario,Universidad Nacional Autónoma de México,COURSE,4.8,Intermediate,26000
730,Cuidados y procedimientos generales en la atención del recién nacido,Universidad de Chile,COURSE,4.8,Intermediate,22000
248,Culture-Driven Team Building,University of Pennsylvania,SPECIALIZATION,4.6,Beginner,17000
820,Curanderismo: Traditional Healing Using Plants,University of New Mexico,COURSE,4.6,Beginner,5500
566,Customer Segmentation and Prospecting,Northwestern University,COURSE,4.7,Beginner,18000
372,Cybersecurity,"University of Maryland, College Park",SPECIALIZATION,4.5,Intermediate,99000
821,Cybersecurity and Its Ten Domains,University System of Georgia,COURSE,4.2,Beginner,140000
497,Cybersecurity for Business,University of Colorado System,SPECIALIZATION,4.6,Beginner,23000
800,Cómo hablar bien en público,Universitat Autònoma de Barcelona,COURSE,4.8,Beginner,55000
764,Dairy Production and Management,The Pennsylvania State University,COURSE,4.8,Mixed,23000
812,Data Analysis and Interpretation,Wesleyan University,SPECIALIZATION,4.4,Beginner,100000
39,Data Analysis and Presentation Skills: the PwC Approach,PwC,SPECIALIZATION,4.6,Beginner,220000
277,Data Analysis with Python,IBM,COURSE,4.7,Beginner,110000
605,Data Analytics for Lean Six Sigma,University of Amsterdam,COURSE,4.8,Beginner,24000
783,Data Collection and Processing with Python,University of Michigan,COURSE,4.7,Intermediate,19000
679,Data Engineering on Google Cloud Platform 日本語版,Google Cloud,SPECIALIZATION,4.4,Intermediate,3000
22,Data Engineering with Google Cloud,Google Cloud,PROFESSIONAL CERTIFICATE,4.6,Intermediate,120000
24,"Data Engineering, Big Data, and Machine Learning on GCP",Google Cloud,SPECIALIZATION,4.6,Intermediate,120000
383,Data Management for Clinical Research,Vanderbilt University,COURSE,4.7,Beginner,42000
434,Data Mining,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.4,Intermediate,140000
13,Data Science,Johns Hopkins University,SPECIALIZATION,4.5,Beginner,830000
399,Data Science Math Skills,Duke University,COURSE,4.5,Beginner,140000
198,Data Science Methodology,IBM,COURSE,4.6,Beginner,89000
15,Data Science: Foundations using R,Johns Hopkins University,SPECIALIZATION,4.6,Beginner,740000
